kind,move_key,symbol,year,date,entry_ordinal,pct_through_move,sa_uptrend,adr_pct_20,dollar_vol_20m,event_rel_vol20,gain_from_move_start,spy_above_50sma,entry,s0,risk_pct,r,days,reason
ours_sa_exit,CTIC_2000,CTIC,2000,2000-05-16,7,45.3,False,10.47654250531274,16.374100398,1.5117553904251433,260.9,True,23550.0,22500.0,4.46,-1.0,1,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-06-09,8,53.7,True,9.416759578853927,18.100594959,1.2200621610092022,313.8,True,27000.0,23850.0,11.67,6.043,72,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-06-16,9,56.2,True,8.847743672013792,17.718263709,1.0700287431408415,337.9,True,28575.0,26700.0,6.56,9.312,67,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-06-22,10,58.2,True,8.035415711406296,21.3540036585,1.8115377703228899,415.5,True,33639.34,29434.43,12.5,2.948,63,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-06-27,11,59.7,True,7.191455573204342,24.4934818245,1.221408966148216,433.3,True,34800.0,33300.0,4.31,-1.0,9,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-08-04,12,73.1,True,9.386716469687395,40.0178827235,2.2295785154792984,583.9,True,44625.0,39225.0,12.1,0.261,33,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-08-09,13,74.6,True,9.297539278323319,43.46314915999999,1.6039454391966945,605.8,True,46051.69,42070.06,8.65,-0.004,30,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-08-24,14,80.1,True,7.952495167133253,53.1998274885,1.0807892004153687,662.7,True,49768.8,45928.85,7.72,-1.0,18,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-09-22,15,90.0,True,8.70876361273344,64.3945212745,1.3933236574746009,821.8,False,60150.0,48237.65,19.8,0.517,35,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-09-27,16,91.5,True,10.637689628402693,83.73103466650001,2.3817945210050384,992.0,False,71250.0,64350.0,9.68,-1.0,9,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-10-16,17,98.0,True,11.71878560984325,124.01000265450001,0.7502272163926299,1171.9,False,82990.03,72259.86,12.93,-1.0,8,stop
ours_sa_exit,ELON_2000,ELON,2000,2000-02-24,1,72.9,False,9.852997008650057,30.1751591985,1.81044659880584,154.1,,450.6,409.41,9.14,-1.0,28,stop
ours_sa_exit,ELON_2000,ELON,2000,2000-02-25,2,75.0,False,10.611295833592006,42.4839775905,5.004007281281085,246.9,,615.24,519.15,15.62,-1.0,27,stop
ours_sa_exit,ELON_2000,ELON,2000,2000-02-28,3,77.1,False,11.931058612768172,66.6620995635,4.606566621641148,426.9,,934.47,675.52,27.71,-1.0,16,stop
sa_system,ELX_2000,ELX,2000,2000-08-04,1,46.1,,8.168664319266625,89.3414832,6.760108221854803,63.0,True,67.94,47.1813,30.55,2.56,76,sa_flip
sa_system,ELX_2000,ELX,2000,2000-12-08,2,99.4,,13.991271391025373,626.4889546,1.2200121193256888,331.6,False,179.92,117.9227,34.46,-1.797,7,sa_flip
ours_sa_exit,ELX_2000,ELX,2000,2000-06-20,1,26.7,False,9.98492967255628,84.98722285,2.219935268380461,43.6,True,59.88,54.44,9.08,-1.0,11,stop
ours_sa_exit,ELX_2000,ELX,2000,2000-08-04,2,46.1,True,8.168664319266625,89.3414832,6.760108221854803,63.0,True,67.94,62.5,8.01,-1.0,3,stop
ours_sa_exit,ELX_2000,ELX,2000,2000-08-16,3,50.9,True,8.955088739520779,105.69967785,0.7802880870886015,76.3,True,73.5,69.5,5.44,-1.0,7,stop
ours_sa_exit,ELX_2000,ELX,2000,2000-08-17,4,51.5,True,9.485144984828207,119.73757934999999,2.0399532793365007,108.5,True,86.94,72.88,16.17,-1.0,6,stop
ours_sa_exit,ELX_2000,ELX,2000,2000-10-19,5,78.2,True,11.389188876386495,318.81183185000003,1.3948353744516149,255.0,False,148.0,135.38,8.53,-1.0,5,stop
ours_sa_exit,ELX_2000,ELX,2000,2000-11-03,6,84.8,True,11.237837266850073,394.39711915,1.4259359817604476,310.0,False,170.94,149.88,12.32,-1.018,4,stop
ours_sa_exit,ELX_2000,ELX,2000,2000-12-08,7,99.4,True,13.991271391025373,626.4889546,1.2200121193256888,331.6,False,179.92,164.0,8.85,-1.0,3,stop
sa_system,EXTR_2000,EXTR,2000,2000-06-05,1,6.0,,10.439934824028123,77.373261578,2.027538762916544,65.6,True,35.5,21.5069,39.42,4.288,97,sa_flip
ours_sa_exit,EXTR_2000,EXTR,2000,2000-06-02,1,5.0,False,10.13305277274693,75.431381581,1.6575443946575372,31.9,True,28.2812,27.0,4.53,52.466,98,sa_flip
ours_sa_exit,EXTR_2000,EXTR,2000,2000-06-05,2,6.0,True,10.439934824028123,77.373261578,2.027538762916544,65.6,True,35.5,28.125,20.77,8.136,97,sa_flip
ours_sa_exit,EXTR_2000,EXTR,2000,2000-06-13,3,12.0,True,10.651351869179427,104.097415822,1.1792867023515967,104.7,True,43.875,39.5938,9.76,12.059,91,sa_flip
ours_sa_exit,EXTR_2000,EXTR,2000,2000-06-22,4,19.0,True,9.44046828428696,129.177030644,0.7318367729245372,138.8,True,51.1875,50.1875,1.95,-1.0,1,stop
ours_sa_exit,EXTR_2000,EXTR,2000,2000-07-10,5,30.0,True,7.773152985312505,119.329037102,2.8124313371255583,161.2,True,56.0,51.25,8.48,8.316,73,sa_flip
ours_sa_exit,EXTR_2000,EXTR,2000,2000-07-20,6,38.0,True,8.37677376731745,221.92245256,3.7510495382031905,245.8,True,74.125,62.875,15.18,-1.272,10,stop
ours_sa_exit,EXTR_2000,EXTR,2000,2000-08-14,7,55.0,True,9.089520482999097,368.80115732499996,0.8075538548475718,292.4,True,84.125,79.5,5.5,-1.0,20,stop
ours_sa_exit,EXTR_2000,EXTR,2000,2000-09-01,8,69.0,True,6.629567234581937,292.39953203849996,0.9372824291424392,349.0,True,96.25,94.0,2.34,-1.0,1,stop
ours_sa_exit,EXTR_2000,EXTR,2000,2000-09-19,9,80.0,True,8.228235275916564,271.349494683,1.561238178782085,385.7,False,104.125,90.25,13.33,-1.0,22,stop
ours_sa_exit,PDLI_2000,PDLI,2000,2000-02-07,1,52.4,False,10.537901930241066,45.264230000199994,1.9932717357545005,79.5,,27.32,24.63,9.85,-1.097,30,stop
ours_sa_exit,PDLI_2000,PDLI,2000,2000-02-16,2,69.0,False,12.798159225855157,70.2209144742,2.3154220627486057,235.2,,51.02,32.34,36.61,-1.427,23,stop
ours_sa_exit,PDLI_2000,PDLI,2000,2000-02-25,3,83.3,False,13.989603877939109,117.79437687469999,1.6599573773691563,272.1,,56.63,53.78,5.03,-1.0,1,stop
sa_system,RIMM_2000,RIMM,2000,2000-06-07,1,6.7,,10.030478106925816,37.293168025,1.034509793243575,69.2,True,42.5,25.5144,39.97,0.068,15,sa_flip
sa_system,RIMM_2000,RIMM,2000,2000-07-07,2,26.9,,10.217790486294058,91.551048185,0.6200232547975778,121.4,True,55.62,39.1372,29.63,1.994,81,sa_flip
ours_sa_exit,RIMM_2000,RIMM,2000,2000-06-01,1,2.9,False,9.91814550922506,32.559423654999996,2.4728465976355416,54.7,True,38.87,35.87,7.72,1.597,19,sa_flip
ours_sa_exit,RIMM_2000,RIMM,2000,2000-06-02,2,3.8,False,9.922915999842882,34.170248025,1.58362328142418,65.3,True,41.53,41.22,0.75,-1.0,1,stop
ours_sa_exit,RIMM_2000,RIMM,2000,2000-06-09,3,8.7,True,9.630657443894508,40.459045775,1.2461894552993666,88.6,True,47.38,46.13,2.64,-1.0,1,stop
ours_sa_exit,RIMM_2000,RIMM,2000,2000-06-21,4,16.3,True,9.452382268707904,53.566158205,1.9522146316321214,117.5,True,54.63,46.0,15.8,-1.0,4,stop
ours_sa_exit,RIMM_2000,RIMM,2000,2000-08-29,5,62.5,True,5.2473980614888776,31.03112387,2.7502904237005312,188.1,True,72.38,63.44,12.35,1.801,44,sa_flip
