year,symbol,gain_pct,low_date,high_date,low_price,high_price,avg_vol_b
2005,GOOGL,158.57,2005-03-14,2005-12-19,4.3186,11.1664,61.63
2005,ISRG,249.65,2005-01-05,2005-12-23,3.9656,13.8656,1.11
2005,NTES,155.66,2005-02-11,2005-09-27,1.8775,4.8,1.34
2005,OCR,115.15,2005-01-24,2005-12-08,29.05,62.5,1.01
2005,OSAT,126.67,2005-01-21,2005-02-07,563878350.0,1278124312.5,12352.18
2005,RHT,176.08,2005-03-18,2005-12-28,10.37,28.63,1.24
2005,SCON,195.05,2005-04-18,2005-08-02,67716.309,199800.0,5.1
2005,SNDK,223.41,2005-01-26,2005-11-03,20.25,65.49,6.09
2005,SWN,137.02,2005-06-08,2005-10-03,35.272,83.6,2.65
2005,TSO,154.41,2005-01-14,2005-09-22,14.115,35.91,1.9
2005,UPL,180.82,2005-04-18,2005-12-13,21.48,60.32,1.34
2005,VLO,179.1,2005-01-06,2005-09-29,19.2002,53.5878,13.47
2006,ACGN,319.39,2006-05-09,2006-12-11,226.6712,950.64,1.21
2006,ADYX,152.83,2006-06-13,2006-08-30,1394.736,3526.314,3.84
2006,AEM,129.04,2006-01-03,2006-12-05,19.94,45.67,1.38
2006,AEO,122.52,2006-01-03,2006-11-15,14.8333,33.0067,2.1
2006,AKAM,190.24,2006-01-03,2006-12-20,19.57,56.8,3.31
2006,ATI,178.32,2006-01-03,2006-12-11,35.47,98.72,4.11
2006,BBRY,133.75,2006-06-13,2006-11-24,61.03,142.66,10.54
2006,BIDU,189.56,2006-02-06,2006-12-06,4.444,12.868,3.62
2006,BRCD,136.93,2006-01-04,2006-11-22,3.98,9.43,1.2
2006,CRM,106.01,2006-07-14,2006-11-13,5.41,11.145,1.3
2006,DRYS,112.47,2006-05-24,2006-12-28,96151935.06,204294583.0,6974.88
2006,GT,118.97,2006-07-18,2006-12-29,9.75,21.35,1.06
2006,HANS,171.75,2006-02-07,2006-07-06,77.6,210.88,4.02
2006,ICE,216.25,2006-01-03,2006-12-11,7.2,22.77,2.62
2006,JDSU,883.0,2006-07-18,2006-11-22,2.0,19.66,2.63
2006,LCC,123.57,2006-01-27,2006-11-24,28.3,63.27,1.45
2006,LVLT,124.72,2006-01-06,2006-10-17,2.71,6.09,2.59
2006,LVS,152.99,2006-01-03,2006-12-06,38.44,97.25,3.03
2006,MA,153.44,2006-05-30,2006-11-27,4.285,10.86,3.36
2006,MNST,171.74,2006-02-07,2006-07-06,1.6167,4.3933,4.21
2006,NTRI,125.16,2006-01-03,2006-05-11,33.9,76.33,1.75
2006,NVDA,126.87,2006-07-14,2006-12-20,0.2862,0.6493,5.81
2006,NYX,130.36,2006-06-13,2006-11-22,48.62,112.0,4.13
2006,OSAT,188.46,2006-09-22,2006-12-05,65159325.0,187959487.5,10973.42
2006,PEIX,347.24,2006-01-18,2006-05-11,9.95,44.5,1.15
2006,RIMM,133.75,2006-06-13,2006-11-24,61.03,142.66,10.54
2006,RMBS,168.51,2006-01-03,2006-04-19,17.5,46.99,3.64
2006,SCON,149.23,2006-07-18,2006-10-17,23400.0,58320.0,1.32
2006,SUNE,116.37,2006-01-03,2006-05-08,22.6,48.8999,2.67
