Unnamed: 0,DateTime,Open,High,Low,Close,Volume
63.0,2025-05-15,41.17000,41.86300,39.75,40.54000,1930800
64.0,2025-05-16,40.52000,41,39.92500,40.44000,2132500
65.0,2025-05-19,39.33000,39.5,38.53000,38.78000,1765400
66.0,2025-05-20,38.78000,41.11100,38.45000,40.18000,1756400
67.0,2025-05-21,40.040001,40.48000,38.35000,38.60000,1816200
68.0,2025-05-22,38.40000,39.28400,37.77000,37.84000,1764900
69.0,2025-05-23,36.25,37.56700,35.79000,37.28000,1232900
70.0,2025-05-27,37.94500,38.62000,37.5,38.18000,1411000
71.0,2025-05-28,38.40000,38.91000,37.80000,38.58000,1055800
72.0,2025-05-29,39.040001,39.22500,37.68500,38.60000,1501900
73.0,2025-05-30,38.19000,38.45000,36.68000,37.69000,5499600
74.0,2025-06-02,37.54000,37.88000,36.20700,37.33000,1621000
75.0,2025-06-03,37.45000,39.24000,36.87000,38.64000,1294000
76.0,2025-06-04,38.64000,40.27000,38.35000,39.82000,1860500
77.0,2025-06-05,39.375,40.45000,37.33000,39.12000,5456000
78.0,2025-06-06,39.73000,40.15500,38.53000,39.15000,10955500
79.0,2025-06-09,40.27000,42.23500,39.55000,41.82000,10990300
80.0,2025-06-10,41.79000,42.66000,40.75,41.59000,4056300
81.0,2025-06-11,42.38000,43.23000,39.89000,40.23000,3891800
82.0,2025-06-12,39.67000,41.83000,39.44000,41.30000,2052000
83.0,2025-06-13,41,42.83000,40.78000,42.5,2755900
84.0,2025-06-16,43.37000,44.85000,42.56000,44.21000,2901800
85.0,2025-06-17,44.23000,44.55900,43.53500,44.090000,2914900
86.0,2025-06-18,45,47.43000,44.86000,46.62000,3351400
87.0,2025-06-20,46.98000,48.21000,44.76000,46.58000,4762700
88.0,2025-06-23,46.36000,48.25,45.80400,46.95000,1791600
89.0,2025-06-24,47.18000,48.75,46.71000,47.34000,1740600
90.0,2025-06-25,47.34000,48.16000,47.049999,47.25,2357900
91.0,2025-06-26,49.59500,49.82000,47.070000,47.44000,3449600
92.0,2025-06-27,47.23000,47.74000,46.19000,47.15000,3624000
93.0,2025-06-30,47.23000,47.34000,45.33000,45.35000,3034600
94.0,2025-07-01,45.70000,45.91500,44.30000,44.96000,2893400
95.0,2025-07-02,44.52000,46.24000,44.17000,46.21000,3509400
96.0,2025-07-03,46.095001,47.32000,45.89000,46.41000,1441600
97.0,2025-07-07,47.14000,47.23500,45.090000,45.22000,2446100
98.0,2025-07-08,46.12000,47.25,45.61000,46.17000,2347200
99.0,2025-07-09,46.12000,47.090000,45.98500,46.20000,1575100
100.0,2025-07-10,47.37000,47.75,46.62000,46.95000,1734300
101.0,2025-07-11,46.29000,47.41500,45.82500,46.090000,1242000
102.0,2025-07-14,44.63000,44.85000,41.46000,42.48000,5486900
103.0,2025-07-15,42.80000,43.45000,42.51500,42.72000,2398200
104.0,2025-07-16,42.76000,42.96000,40.30000,41.36000,2338400
105.0,2025-07-17,41.40000,42.26000,41.040001,41.52000,2290100
106.0,2025-07-18,41.54000,42.28500,40.84000,42.19000,1678600
107.0,2025-07-21,41.72800,42.28000,40.55000,41.61000,2174200
108.0,2025-07-22,41.51000,41.98000,40.89000,41.36000,1846700
109.0,2025-07-23,41.060001,43.65000,41.060001,43,2220800
110.0,2025-07-24,43.080002,43.5,42.029999,42.060001,1347100
111.0,2025-07-25,42.48000,42.60500,41.5,42.48000,869200
112.0,2025-07-28,43.080002,43.24000,41.57000,41.89000,851300
113.0,2025-07-29,42.26000,43.19000,41.67700,42.93000,1202600
114.0,2025-07-30,42.070000,43.47000,42.070000,43.39000,1334800
115.0,2025-07-31,43.73000,44.62000,42.24300,42.92000,1849200
116.0,2025-08-01,42.18000,42.22500,40.099998,41.33000,1661800
117.0,2025-08-04,42.11000,42.54000,41.60000,42.51000,1540000
118.0,2025-08-05,42.53000,43.39500,41.37000,41.93000,1422900
119.0,2025-08-06,42.72000,43,41.61500,42.099998,1553800
120.0,2025-08-07,42,42.35000,40.53000,40.69000,2207200
121.0,2025-08-08,41.41000,44.85000,41,44.34000,3516500
122.0,2025-08-11,45.70000,46.35000,43.17000,43.37000,3095000
123.0,2025-08-12,45.21000,47.86000,45,46.83000,3204500
