Unnamed: 0,DateTime,Open,High,Low,Close,Volume
1131.0,2022-06-30,357.56,361.76,354.07,358.52,112508300
1132.0,2022-07-01,357.87,362.75,355.25,362.32,74839700
1133.0,2022-07-05,357.22,363.02,354.39,363.0,81438000
1134.0,2022-07-06,363.14,366.72,360.76,364.23,70426200
1135.0,2022-07-07,366.0,370.48,364.25,369.68,64525900
1136.0,2022-07-08,368.05,371.25,366.52,369.38,72397800
1137.0,2022-07-11,366.7,367.67,364.46,365.16,58366900
1138.0,2022-07-12,364.61,366.99,360.18,361.93,62219200
1139.0,2022-07-13,356.48,362.96,356.06,360.03,84224600
1140.0,2022-07-14,355.06,360.23,352.62,359.15,89704800
1141.0,2022-07-15,363.56,366.13,361.65,366.01,79060400
1142.0,2022-07-18,369.1,369.78,361.76,362.99,63203600
1143.0,2022-07-19,366.92,373.37,366.26,372.8,78506000
1144.0,2022-07-20,372.99,376.59,371.62,375.17,71843800
1145.0,2022-07-21,374.59,379.04,372.19,378.99,64903900
1146.0,2022-07-22,379.12,380.32,373.25,375.48,72197300
1147.0,2022-07-25,376.11,376.79,373.69,375.93,53631500
1148.0,2022-07-26,374.29,374.5,370.59,371.49,52946400
1149.0,2022-07-27,374.78,382.88,374.49,381.13,82342100
1150.0,2022-07-28,381.94,386.61,378.39,385.91,73966600
1151.0,2022-07-29,387.35,392.53,386.58,391.54,87003700
1152.0,2022-08-01,388.84,392.89,388.13,390.38,69997500
1153.0,2022-08-02,388.81,392.5,386.63,387.8,63435400
1154.0,2022-08-03,389.93,395.05,389.65,393.88,67820600
1155.0,2022-08-04,393.8,394.49,391.97,393.61,45656600
1156.0,2022-08-05,389.33,393.59,389.27,392.95,56814900
1157.0,2022-08-08,394.64,396.89,391.39,392.49,53886100
1158.0,2022-08-09,391.76,392.26,389.86,390.93,44931800
1159.0,2022-08-10,397.99,399.28,396.03,399.14,68665700
1160.0,2022-08-11,401.99,403.86,398.4,399.14,59489700
1161.0,2022-08-12,401.08,406.0,400.13,405.9,61694500
1162.0,2022-08-15,403.68,408.09,403.63,407.57,54048300
1163.0,2022-08-16,406.5,410.3,405.69,408.37,59289000
1164.0,2022-08-17,404.77,408.18,403.47,405.47,63563400
1165.0,2022-08-18,405.67,407.33,404.38,406.65,49023200
1166.0,2022-08-19,403.88,404.15,400.31,401.19,68016900
1167.0,2022-08-22,396.35,396.52,391.93,392.83,77695600
1168.0,2022-08-23,392.4,394.8,391.33,391.88,49105200
1169.0,2022-08-24,391.65,394.5,390.97,393.14,49177800
1170.0,2022-08-25,394.63,398.73,393.54,398.69,50942300
1171.0,2022-08-26,398.57,399.11,385.13,385.19,103087000
1172.0,2022-08-29,382.24,385.69,381.29,382.64,65370800
1173.0,2022-08-30,383.8,384.04,376.34,378.44,85652400
1174.0,2022-08-31,380.08,381.32,375.43,375.56,76029700
1175.0,2022-09-01,373.39,377.08,370.68,376.74,78740100
1176.0,2022-09-02,380.41,381.63,370.95,372.77,99632100
1177.0,2022-09-06,373.62,374.56,369.14,371.36,76637400
1178.0,2022-09-07,371.05,378.8,370.83,378.03,70964200
1179.0,2022-09-08,375.76,380.96,374.56,380.51,80821700
1180.0,2022-09-09,382.75,387.28,382.48,386.42,76706900
1181.0,2022-09-12,388.49,391.29,388.18,390.57,69256300
1182.0,2022-09-13,381.88,383.09,372.47,373.59,122947100
1183.0,2022-09-14,374.89,376.53,371.71,375.01,85023700
1184.0,2022-09-15,373.45,376.31,369.48,370.76,87633800
1185.0,2022-09-16,366.57,368.58,364.63,367.93,103084800
1186.0,2022-09-19,364.78,370.78,364.7,370.78,73278500
1187.0,2022-09-20,367.45,368.46,363.77,366.52,77274900
1188.0,2022-09-21,368.45,371.51,360.12,360.13,106746600
1189.0,2022-09-22,359.36,361.0,356.36,357.11,89472600
1190.0,2022-09-23,353.63,353.67,346.68,351.12,122346900
1191.0,2022-09-26,349.65,353.28,346.43,347.65,92581200
1192.0,2022-09-27,351.19,353.46,344.37,346.76,108294100
1193.0,2022-09-28,347.72,355.27,346.02,353.58,110802200
1194.0,2022-09-29,350.03,350.32,343.25,346.2,112952300
1195.0,2022-09-30,345.25,349.18,340.71,340.84,153711200
1196.0,2022-10-03,344.57,351.69,342.78,349.84,89756500
1197.0,2022-10-04,355.37,360.71,349.81,360.68,103602800
1198.0,2022-10-05,356.31,362.11,353.98,359.84,88065700
1199.0,2022-10-06,358.44,361.4,355.64,356.13,82333500
1200.0,2022-10-07,352.1,356.22,344.43,346.2,107789500
1201.0,2022-10-10,347.31,347.55,341.31,343.55,76042800
1202.0,2022-10-11,341.86,346.43,339.44,341.38,92482800
1203.0,2022-10-12,341.79,343.36,340.0,340.25,76991800
1204.0,2022-10-13,333.24,350.7,332.19,349.23,147254500
1205.0,2022-10-14,351.69,353.33,340.63,341.27,123737000
1206.0,2022-10-17,347.36,351.15,340.94,350.04,93168200
1207.0,2022-10-18,357.97,358.28,350.71,354.16,97162900
1208.0,2022-10-19,352.11,354.84,348.83,351.65,79746900
1209.0,2022-10-20,351.2,355.63,347.93,348.7,88283100
1210.0,2022-10-21,348.42,357.66,346.91,357.17,131038400
1211.0,2022-10-24,358.7,362.68,356.05,361.54,85436900
1212.0,2022-10-25,361.47,367.63,361.35,367.32,78846300
1213.0,2022-10-26,364.17,369.85,363.91,364.55,104087300
1214.0,2022-10-27,365.55,367.39,361.98,362.6,81971800
1215.0,2022-10-28,362.5,371.71,362.32,371.23,100302000
1216.0,2022-10-31,368.77,370.64,367.64,368.55,96631300
1217.0,2022-11-01,372.3,372.54,365.76,366.93,85407600
1218.0,2022-11-02,366.34,370.86,357.62,357.73,126990400
1219.0,2022-11-03,354.48,357.09,351.92,354.04,87100100
1220.0,2022-11-04,359.76,361.54,353.08,359.14,103505200
1221.0,2022-11-07,360.44,363.16,358.36,362.57,68286900
1222.0,2022-11-08,363.68,367.51,360.45,364.53,84641100
1223.0,2022-11-09,362.55,363.71,356.52,357.02,78495500
1224.0,2022-11-10,370.3,376.97,368.0,376.64,141455800
1225.0,2022-11-11,377.5,381.09,375.61,380.28,93839900
1226.0,2022-11-14,378.52,381.88,376.77,377.05,71903500
1227.0,2022-11-15,382.8,383.91,376.45,380.27,93194500
1228.0,2022-11-16,378.63,379.59,376.73,377.36,68508500
1229.0,2022-11-17,372.6,376.89,372.3,376.21,74496300
1230.0,2022-11-18,379.55,379.62,375.06,377.92,92922500
1231.0,2022-11-21,376.59,377.72,374.7,376.54,51243200
1232.0,2022-11-22,378.49,381.77,377.08,381.61,60429000
1233.0,2022-11-23,381.28,384.5,381.05,384.02,68261600
1234.0,2022-11-25,383.45,384.48,383.18,383.93,30545400
1235.0,2022-11-28,380.84,382.48,377.04,377.8,67881600
1236.0,2022-11-29,377.94,379.13,375.31,377.15,52310000
1237.0,2022-11-30,377.4,389.03,375.48,389.03,144566700
1238.0,2022-12-01,390.07,391.25,386.24,388.75,76398200
1239.0,2022-12-02,383.85,389.21,383.75,388.3,85342700
1240.0,2022-12-05,385.48,386.41,379.96,381.31,77289800
1241.0,2022-12-06,381.15,381.7,373.73,375.82,77972200
1242.0,2022-12-07,374.97,377.55,374.04,375.18,65927900
1243.0,2022-12-08,377.07,379.19,375.28,378.12,60737900
1244.0,2022-12-09,376.88,379.43,375.17,375.29,81447700
1245.0,2022-12-12,376.09,380.7,375.42,380.7,75405800
1246.0,2022-12-13,391.46,391.72,380.82,383.59,123782500
1247.0,2022-12-14,383.24,386.95,378.18,381.13,108111300
1248.0,2022-12-15,376.27,377.17,370.15,371.81,117705900
1249.0,2022-12-16,369.25,370.59,365.28,367.42,119858000
1250.0,2022-12-19,367.61,367.95,362.64,364.31,79878100
1251.0,2022-12-20,363.55,366.42,362.22,364.8,74427200
1252.0,2022-12-21,367.4,371.39,366.86,370.26,78167400
1253.0,2022-12-22,367.21,370.24,359.27,364.98,100120900
1254.0,2022-12-23,363.95,367.22,362.4,367.08,59857300
1255.0,2022-12-27,366.96,367.31,363.95,365.63,51638200
1256.0,2022-12-28,365.56,367.54,360.85,361.08,70911500
1257.0,2022-12-29,363.93,368.46,363.4,367.58,66970900
1258.0,2022-12-30,364.9,366.76,362.78,366.62,84022200
1259.0,2023-01-03,368.48,370.45,362.21,365.07,74850700
1260.0,2023-01-04,367.33,369.92,364.29,367.89,85934100
1261.0,2023-01-05,365.93,366.05,363.1,363.69,76970500
1262.0,2023-01-06,366.79,373.15,363.72,372.03,104189600
1263.0,2023-01-09,374.23,377.42,371.64,371.82,73978100
1264.0,2023-01-10,371.24,374.5,370.3,374.43,65358100
1265.0,2023-01-11,376.01,379.24,375.2,379.16,68881100
1266.0,2023-01-12,380.27,382.01,376.19,380.54,90157700
1267.0,2023-01-13,377.34,382.6,377.07,382.02,63903900
1268.0,2023-01-17,382.0,383.68,380.64,381.32,62677300
1269.0,2023-01-18,382.51,383.57,375.1,375.3,99632300
1270.0,2023-01-19,373.26,374.91,371.25,372.57,86958900
1271.0,2023-01-20,373.97,379.66,372.32,379.51,91806400
1272.0,2023-01-23,380.31,386.0,379.36,384.06,84178800
1273.0,2023-01-24,382.39,384.56,381.2,383.65,59524900
